nm_mun;ano;pop_total;pop_mulher;pop_mulher_per;pop_homem;pop_homem_per;cres_pop;cor_raca_pri;porte
Paulo Ramos (MA);2022;20.341;10.164;49,97%;10.177;50,03%;1,3%;parda;baixo
Pedreiras (MA);2022;37.050;19.357;52,25%;17.693;47,75%;-6,1%;parda;baixo
Pedro do Rosário (MA);2022;24.320;12.169;50,04%;12.151;49,96%;7%;parda;baixo
Penalva (MA);2022;32.511;16.385;50,4%;16.126;49,6%;-5,1%;parda;baixo
Peri Mirim (MA);2022;11.108;5.533;49,81%;5.575;50,19%;-19,5%;parda;baixo
Peritoró (MA);2022;20.479;10.266;50,13%;10.213;49,87%;-3,4%;parda;baixo
Pindaré-Mirim (MA);2022;31.429;16.203;51,55%;15.226;48,45%;0,9%;parda;baixo
Pinheiro (MA);2022;84.621;43.848;51,82%;40.773;48,18%;8,3%;parda;médio
Pio XII (MA);2022;21.886;11.056;50,52%;10.830;49,48%;-0,6%;parda;baixo
Pirapemas (MA);2022;17.714;8.883;50,15%;8.831;49,85%;1,9%;parda;baixo
Poção de Pedras (MA);2022;17.161;8.557;49,86%;8.604;50,14%;-12,9%;parda;baixo
Porto Franco (MA);2022;23.903;12.036;50,35%;11.867;49,65%;11%;parda;baixo
Porto Rico do Maranhão (MA);2022;5.954;2.892;48,57%;3.062;51,43%;-1,3%;parda;baixo
Presidente Dutra (MA);2022;45.155;23.130;51,22%;22.025;48,78%;0,9%;parda;baixo
Presidente Juscelino (MA);2022;11.356;5.506;48,49%;5.850;51,51%;-1,6%;parda;baixo
Presidente Médici (MA);2022;4.696;2.346;49,96%;2.350;50,04%;-26,3%;parda;baixo
Presidente Sarney (MA);2022;17.511;8.802;50,27%;8.709;49,73%;2%;parda;baixo
Presidente Vargas (MA);2022;10.549;5.316;50,39%;5.233;49,61%;-1,6%;parda;baixo
Primeira Cruz (MA);2022;13.614;6.430;47,23%;7.184;52,77%;-2,4%;parda;baixo
Raposa (MA);2022;30.839;15.788;51,19%;15.051;48,81%;17,1%;parda;baixo
Riachão (MA);2022;22.145;10.738;48,49%;11.407;51,51%;9,6%;parda;baixo
Ribamar Fiquene (MA);2022;7.420;3.633;48,96%;3.787;51,04%;1,4%;parda;baixo
Rosário (MA);2022;38.475;19.698;51,2%;18.777;48,8%;-2,8%;parda;baixo
Sambaíba (MA);2022;5.568;2.670;47,95%;2.898;52,05%;1,5%;parda;baixo
Santa Filomena do Maranhão (MA);2022;6.697;3.203;47,83%;3.494;52,17%;-5,2%;parda;baixo
Santa Helena (MA);2022;41.561;21.241;51,11%;20.320;48,89%;6,3%;parda;baixo
Santa Inês (MA);2022;85.014;44.128;51,91%;40.886;48,09%;10%;parda;médio
Santa Luzia (MA);2022;57.635;28.676;49,75%;28.959;50,25%;-22,2%;parda;médio
Santa Luzia do Paruá (MA);2022;24.307;12.175;50,09%;12.132;49,91%;7,3%;parda;baixo
Santa Quitéria do Maranhão (MA);2022;23.957;12.042;50,27%;11.915;49,73%;-17,9%;parda;baixo
Santa Rita (MA);2022;37.035;18.546;50,08%;18.489;49,92%;14,4%;parda;baixo
Santana do Maranhão (MA);2022;10.567;5.259;49,77%;5.308;50,23%;-9,4%;parda;baixo
Santo Amaro do Maranhão (MA);2022;13.949;6.819;48,89%;7.130;51,11%;0,9%;parda;baixo
Santo Antônio dos Lopes (MA);2022;14.304;7.184;50,22%;7.120;49,78%;0,1%;parda;baixo
São Benedito do Rio Preto (MA);2022;18.364;9.035;49,2%;9.329;50,8%;3,2%;parda;baixo
São Bento (MA);2022;46.395;24.075;51,89%;22.320;48,11%;13,9%;parda;baixo
São Bernardo (MA);2022;26.943;13.494;50,08%;13.449;49,92%;1,8%;parda;baixo
São Domingos do Azeitão (MA);2022;7.992;3.955;49,49%;4.037;50,51%;14,4%;parda;baixo
São Domingos do Maranhão (MA);2022;34.034;17.042;50,07%;16.992;49,93%;1,3%;parda;baixo
São Félix de Balsas (MA);2022;4.402;2.137;48,55%;2.265;51,45%;-6,4%;parda;baixo
São Francisco do Brejão (MA);2022;9.051;4.510;49,83%;4.541;50,17%;-11,8%;parda;baixo
São Francisco do Maranhão (MA);2022;12.064;5.949;49,31%;6.115;50,69%;-0,7%;parda;baixo
São João Batista (MA);2022;18.544;9.287;50,08%;9.257;49,92%;-6,9%;parda;baixo
São João do Carú (MA);2022;12.251;6.011;49,07%;6.240;50,93%;-0,5%;parda;baixo
São João do Paraíso (MA);2022;9.904;4.770;48,16%;5.134;51,84%;-8,4%;parda;baixo
São João do Soter (MA);2022;16.889;8.495;50,3%;8.394;49,7%;-2%;parda;baixo
São João dos Patos (MA);2022;25.020;12.910;51,6%;12.110;48,4%;0,4%;parda;baixo
São José de Ribamar (MA);2022;244.579;128.452;52,52%;116.127;47,48%;50%;parda;grande
São José dos Basílios (MA);2022;6.957;3.421;49,17%;3.536;50,83%;-7,2%;parda;baixo
São Luís (MA);2022;1.037.775;554.274;53,41%;483.501;46,59%;2,3%;parda;grande
São Luís Gonzaga do Maranhão (MA);2022;17.818;8.983;50,42%;8.835;49,58%;-11,6%;parda;baixo
São Mateus do Maranhão (MA);2022;38.829;19.699;50,73%;19.130;49,27%;-0,7%;parda;baixo
São Pedro da Água Branca (MA);2022;14.338;7.030;49,03%;7.308;50,97%;19,2%;parda;baixo
São Pedro dos Crentes (MA);2022;5.783;2.735;47,29%;3.048;52,71%;30,7%;parda;baixo
São Raimundo das Mangabeiras (MA);2022;18.672;9.161;49,06%;9.511;50,94%;6,9%;parda;baixo
São Raimundo do Doca Bezerra (MA);2022;5.650;2.705;47,88%;2.945;52,12%;-7,2%;parda;baixo
São Roberto (MA);2022;4.544;2.219;48,83%;2.325;51,17%;-23,7%;parda;baixo
São Vicente Ferrer (MA);2022;19.498;9.717;49,84%;9.781;50,16%;-6,5%;parda;baixo
Satubinha (MA);2022;8.784;4.256;48,45%;4.528;51,55%;-26,7%;parda;baixo
Senador Alexandre Costa (MA);2022;10.207;5.080;49,77%;5.127;50,23%;-0,5%;parda;baixo
Senador La Rocque (MA);2022;14.700;7.444;50,64%;7.256;49,36%;-18,3%;parda;baixo
Serrano do Maranhão (MA);2022;10.202;4.869;47,73%;5.333;52,27%;-6,7%;preta;baixo
Sítio Novo (MA);2022;17.074;8.132;47,63%;8.942;52,37%;0,4%;parda;baixo
Sucupira do Norte (MA);2022;10.238;4.980;48,64%;5.258;51,36%;-2%;parda;baixo
Sucupira do Riachão (MA);2022;4.985;2.446;49,07%;2.539;50,93%;8,1%;parda;baixo
Tasso Fragoso (MA);2022;8.862;4.303;48,56%;4.559;51,44%;13,7%;parda;baixo
Timbiras (MA);2022;26.484;13.332;50,34%;13.152;49,66%;-5,4%;parda;baixo
Timon (MA);2022;174.465;90.268;51,74%;84.197;48,26%;12,2%;parda;grande
Trizidela do Vale (MA);2022;22.484;11.621;51,69%;10.863;48,31%;18,6%;parda;baixo
Tufilândia (MA);2022;5.507;2.709;49,19%;2.798;50,81%;-1,6%;parda;baixo
Tuntum (MA);2022;36.251;17.815;49,14%;18.436;50,86%;-7,5%;parda;baixo
Turiaçu (MA);2022;37.491;18.991;50,65%;18.500;49,35%;10,5%;parda;baixo
Turilândia (MA);2022;31.638;16.067;50,78%;15.571;49,22%;38,5%;parda;baixo
Tutóia (MA);2022;53.356;26.726;50,09%;26.630;49,91%;1,1%;parda;médio
Urbano Santos (MA);2022;32.812;16.147;49,21%;16.665;50,79%;33,5%;parda;baixo
Vargem Grande (MA);2022;43.261;21.557;49,83%;21.704;50,17%;-12,4%;parda;baixo
Viana (MA);2022;51.442;26.007;50,56%;25.435;49,44%;3,9%;parda;médio
Vila Nova dos Martírios (MA);2022;10.362;5.096;49,18%;5.266;50,82%;-8%;parda;baixo
Vitória do Mearim (MA);2022;30.805;15.639;50,77%;15.166;49,23%;-1,3%;parda;baixo
Vitorino Freire (MA);2022;30.845;15.552;50,42%;15.293;49,58%;-2,6%;parda;baixo
Zé Doca (MA);2022;40.801;20.687;50,7%;20.114;49,3%;-18,7%;parda;baixo
AÇUCENA (MG);2022;8.943;4.368;48,84%;4.575;51,16%;-13%;parda;baixo
ÁGUA BOA (MG);2022;12.589;6.214;49,36%;6.375;50,64%;-17,2%;parda;baixo
AIMORÉS (MG);2022;25.269;12.821;50,74%;12.448;49,26%;1,2%;parda;baixo
ALPERCATA (MG);2022;6.903;3.495;50,63%;3.408;49,37%;-3,8%;parda;baixo
ALVARENGA (MG);2022;3.975;2.007;50,49%;1.968;49,51%;-10,6%;parda;baixo
BONFINÓPOLIS DE MINAS (MG);2022;5.528;2.734;49,46%;2.794;50,54%;-5,7%;parda;baixo
BRAÚNAS (MG);2022;4.441;2.235;50,33%;2.206;49,67%;-11,7%;parda;baixo
CANTAGALO (MG);2022;3.974;1.982;49,87%;1.992;50,13%;-5,3%;parda;baixo
CAPITÃO ANDRADE (MG);2022;4.585;2.367;51,62%;2.218;48,38%;-6,9%;parda;baixo
CARMÉSIA (MG);2022;2.605;1.287;49,4%;1.318;50,6%;6,5%;parda;baixo
CENTRAL DE MINAS (MG);2022;6.171;3.142;50,92%;3.029;49,08%;-8,9%;parda;baixo
COLUNA (MG);2022;8.163;4.067;49,82%;4.096;50,18%;-9,5%;parda;baixo
CONSELHEIRO PENA (MG);2022;20.824;10.574;50,78%;10.250;49,22%;-6,4%;parda;baixo
COROACI (MG);2022;10.884;5.327;48,94%;5.557;51,06%;6%;parda;baixo
CUPARAQUE (MG);2022;3.983;2.005;50,34%;1.978;49,66%;-14,9%;parda;baixo
DIVINO DAS LARANJEIRAS (MG);2022;4.178;2.149;51,44%;2.029;48,56%;-15,4%;parda;baixo
DIVINOLÂNDIA DE MINAS (MG);2022;6.516;3.364;51,63%;3.152;48,37%;-7,2%;parda;baixo
DOM BOSCO (MG);2022;3.697;1.760;47,61%;1.937;52,39%;-3,1%;parda;baixo
DORES DE GUANHÃES (MG);2022;5.029;2.480;49,31%;2.549;50,69%;-3,7%;parda;baixo
ENGENHEIRO CALDAS (MG);2022;13.622;7.113;52,22%;6.509;47,78%;32,5%;parda;baixo
FERNANDES TOURINHO (MG);2022;2.789;1.418;50,84%;1.371;49,16%;-8%;parda;baixo
FREI INOCÊNCIO (MG);2022;8.226;4.217;51,26%;4.009;48,74%;-7,8%;parda;baixo
FREI LAGONEGRO (MG);2022;3.391;1.695;49,99%;1.696;50,01%;1,9%;parda;baixo
GALILÉIA (MG);2022;6.222;3.152;50,66%;3.070;49,34%;-10,5%;parda;baixo
GOIABEIRA (MG);2022;2.830;1.479;52,26%;1.351;47,74%;-7,3%;parda;baixo
GONZAGA (MG);2022;5.230;2.671;51,07%;2.559;48,93%;-11,7%;parda;baixo
GOVERNADOR VALADARES (MG);2022;257.171;135.414;52,66%;121.757;47,34%;-2,5%;parda;grande
GUANHÃES (MG);2022;32.244;16.631;51,58%;15.613;48,42%;3,1%;parda;baixo
IMBÉ DE MINAS (MG);2022;6.986;3.420;48,96%;3.566;51,04%;8,7%;parda;baixo
INHAPIM (MG);2022;22.692;11.316;49,87%;11.376;50,13%;-6,6%;parda;baixo
ITABIRINHA (MG);2022;10.362;5.312;51,26%;5.050;48,74%;-3,1%;parda;baixo
ITANHOMI (MG);2022;11.128;5.764;51,8%;5.364;48,2%;-6,1%;parda;baixo
ITUETA (MG);2022;6.055;3.003;49,6%;3.052;50,4%;3,9%;parda;baixo
JAMPRUCA (MG);2022;4.296;2.107;49,05%;2.189;50,95%;-15,2%;parda;baixo
JOSÉ RAYDAN (MG);2022;4.268;2.158;50,56%;2.110;49,44%;-2,5%;parda;baixo
MANTENA (MG);2022;26.535;13.726;51,73%;12.809;48,27%;-2,1%;parda;baixo
MARILAC (MG);2022;4.224;2.167;51,3%;2.057;48,7%;0,1%;parda;baixo
MATERLÂNDIA (MG);2022;3.963;2.013;50,79%;1.950;49,21%;-13,8%;parda;baixo
MENDES PIMENTEL (MG);2022;5.606;2.872;51,23%;2.734;48,77%;-11,5%;parda;baixo
MUTUM (MG);2022;27.635;13.664;49,44%;13.971;50,56%;3,7%;parda;baixo
NACIP RAYDAN (MG);2022;2.459;1.259;51,2%;1.200;48,8%;-22%;parda;baixo
NAQUE (MG);2022;6.303;3.215;51,01%;3.088;48,99%;-0,6%;parda;baixo
NATALÂNDIA (MG);2022;3.520;1.723;48,95%;1.797;51,05%;7,3%;parda;baixo
NOVA BELÉM (MG);2022;3.151;1.537;48,78%;1.614;51,22%;-15,6%;parda;baixo
NOVA MÓDICA (MG);2022;3.663;1.843;50,31%;1.820;49,69%;-3,4%;parda;baixo
PAULISTAS (MG);2022;4.389;2.251;51,29%;2.138;48,71%;-10,8%;parda;baixo
PEÇANHA (MG);2022;17.446;8.747;50,14%;8.699;49,86%;1,1%;parda;baixo
PERIQUITO (MG);2022;6.553;3.342;51%;3.211;49%;-6,9%;parda;baixo
PIEDADE DE CARATINGA (MG);2022;8.529;4.195;49,19%;4.334;50,81%;20%;parda;baixo
RESPLENDOR (MG);2022;17.226;8.790;51,03%;8.436;48,97%;0,8%;parda;baixo
SABINÓPOLIS (MG);2022;14.240;7.236;50,81%;7.004;49,19%;-9,3%;parda;baixo
SANTA BÁRBARA DO LESTE (MG);2022;8.458;4.150;49,07%;4.308;50,93%;10,1%;parda;baixo
SANTA EFIGÊNIA DE MINAS (MG);2022;4.039;2.068;51,2%;1.971;48,8%;-12,2%;parda;baixo
SANTA MARIA DO SUAÇUÍ (MG);2022;12.788;6.412;50,14%;6.376;49,86%;-11,2%;parda;baixo
SANTA RITA DE MINAS (MG);2022;6.773;3.372;49,79%;3.401;50,21%;3,5%;parda;baixo
SANTA RITA DO ITUETO (MG);2022;5.826;2.908;49,91%;2.918;50,09%;2,3%;parda;baixo
SANTO ANTÔNIO DO ITAMBÉ (MG);2022;3.915;1.963;50,14%;1.952;49,86%;-5,3%;parda;baixo
SÃO DOMINGOS DAS DORES (MG);2022;5.626;2.802;49,8%;2.824;50,2%;4%;parda;baixo
SÃO FÉLIX DE MINAS (MG);2022;3.200;1.592;49,75%;1.608;50,25%;-5,4%;parda;baixo
SÃO GERALDO DA PIEDADE (MG);2022;3.305;1.725;52,19%;1.580;47,81%;-24,7%;parda;baixo
SÃO GERALDO DO BAIXIO (MG);2022;3.143;1.618;51,48%;1.525;48,52%;-9,8%;parda;baixo
SÃO JOÃO DA MANTENINHA (MG);2022;5.331;2.740;51,4%;2.591;48,6%;2,8%;parda;baixo
SÃO JOÃO EVANGELISTA (MG);2022;15.315;7.755;50,64%;7.560;49,36%;-1,5%;parda;baixo
SÃO JOSÉ DA SAFIRA (MG);2022;3.806;1.891;49,68%;1.915;50,32%;-6,6%;parda;baixo
SÃO JOSÉ DO DIVINO (MG);2022;3.464;1.786;51,56%;1.678;48,44%;-9,7%;parda;baixo
SÃO JOSÉ DO JACURI (MG);2022;6.197;3.066;49,48%;3.131;50,52%;-5,4%;parda;baixo
SÃO PEDRO DO SUAÇUÍ (MG);2022;5.103;2.573;50,42%;2.530;49,58%;-8,4%;parda;baixo
SÃO SEBASTIÃO DO ANTA (MG);2022;6.194;3.118;50,34%;3.076;49,66%;7,9%;parda;baixo
SÃO SEBASTIÃO DO MARANHÃO (MG);2022;10.079;4.851;48,13%;5.228;51,87%;-5,3%;parda;baixo
SARDOÁ (MG);2022;5.104;2.561;50,18%;2.543;49,82%;-8,8%;parda;baixo
SENHORA DO PORTO (MG);2022;3.067;1.539;50,18%;1.528;49,82%;-12,3%;parda;baixo
SERRA AZUL DE MINAS (MG);2022;3.792;1.934;51%;1.858;49%;-10,1%;parda;baixo
SOBRÁLIA (MG);2022;5.137;2.574;50,11%;2.563;49,89%;-11,9%;parda;baixo
TAPARUBA (MG);2022;3.387;1.688;49,84%;1.699;50,16%;8%;parda;baixo
TARUMIRIM (MG);2022;14.709;7.447;50,63%;7.262;49,37%;2,9%;parda;baixo
TUMIRITINGA (MG);2022;5.886;2.939;49,93%;2.947;50,07%;-6,5%;parda;baixo
UBAPORANGA (MG);2022;13.017;6.471;49,71%;6.546;50,29%;8,1%;parda;baixo
URUANA DE MINAS (MG);2022;3.282;1.645;50,12%;1.637;49,88%;1,5%;parda;baixo
MATHIAS LOBATO (MG);2022;3.038;1.532;50,43%;1.506;49,57%;-9,9%;parda;baixo
VIRGINÓPOLIS (MG);2022;10.314;5.263;51,03%;5.051;48,97%;-2,4%;parda;baixo
VIRGOLÂNDIA (MG);2022;4.552;2.343;51,47%;2.209;48,53%;-19,5%;parda;baixo
Águas Formosas (MG);2022;18.448;9.181;49,77%;9.267;50,23%;-0,2%;parda;baixo
Águas Vermelhas (MG);2022;14.037;6.898;49,14%;7.139;50,86%;10,3%;parda;baixo
Almenara (MG);2022;40.364;20.453;50,67%;19.911;49,33%;4,1%;parda;baixo
Cachoeira de Pajeú (MG);2022;9.110;4.497;49,36%;4.613;50,64%;1,7%;parda;baixo
Angelândia (MG);2022;7.718;3.916;50,74%;3.802;49,26%;-3,6%;parda;baixo
Araçuaí (MG);2022;34.297;17.484;50,98%;16.813;49,02%;-4,8%;parda;baixo
Aricanduva (MG);2022;4.719;2.317;49,1%;2.402;50,9%;-1,1%;parda;baixo
Arinos (MG);2022;17.272;8.500;49,21%;8.772;50,79%;-2,3%;parda;baixo
Ataléia (MG);2022;13.736;6.724;48,95%;7.012;51,05%;-5%;parda;baixo
Bandeira (MG);2022;4.741;2.273;47,94%;2.468;52,06%;-4,9%;parda;baixo
Berilo (MG);2022;9.826;4.877;49,63%;4.949;50,37%;-20,1%;parda;baixo
Bertópolis (MG);2022;4.451;2.143;48,15%;2.308;51,85%;-1%;parda;baixo
Berizal (MG);2022;4.201;2.094;49,85%;2.107;50,15%;-3,9%;parda;baixo
Bocaiúva (MG);2022;48.032;24.319;50,63%;23.713;49,37%;3%;parda;baixo
Bonito de Minas (MG);2022;10.204;4.953;48,54%;5.251;51,46%;5,5%;parda;baixo
Botumirim (MG);2022;5.790;2.774;47,91%;3.016;52,09%;-10,9%;parda;baixo
Brasília de Minas (MG);2022;32.025;16.134;50,38%;15.891;49,62%;2,6%;parda;baixo
Buritizeiro (MG);2022;23.910;12.058;50,43%;11.852;49,57%;-11,2%;parda;baixo
Campanário (MG);2022;2.923;1.531;52,38%;1.392;47,62%;-18%;parda;baixo
Campo Azul (MG);2022;3.714;1.855;49,95%;1.859;50,05%;0,8%;parda;baixo
Capelinha (MG);2022;39.626;20.052;50,6%;19.574;49,4%;13,9%;parda;baixo
Capitão Enéas (MG);2022;14.108;7.042;49,91%;7.066;50,09%;-0,7%;parda;baixo
Caraí (MG);2022;19.548;9.765;49,95%;9.783;50,05%;-12,5%;parda;baixo
Carbonita (MG);2022;8.512;4.229;49,68%;4.283;50,32%;-7%;parda;baixo
Carlos Chagas (MG);2022;18.615;9.295;49,93%;9.320;50,07%;-7,2%;parda;baixo
Catuji (MG);2022;7.030;3.556;50,58%;3.474;49,42%;4,8%;parda;baixo
Catuti (MG);2022;4.739;2.373;50,07%;2.366;49,93%;-7,1%;parda;baixo
Chapada do Norte (MG);2022;10.337;5.282;51,1%;5.055;48,9%;-31,9%;parda;baixo
Chapada Gaúcha (MG);2022;12.355;6.000;48,56%;6.355;51,44%;14,3%;parda;baixo
Claro dos Poções (MG);2022;7.166;3.558;49,65%;3.608;50,35%;-7,8%;parda;baixo
Comercinho (MG);2022;6.660;3.307;49,65%;3.353;50,35%;-19,7%;parda;baixo
Cônego Marinho (MG);2022;7.237;3.563;49,23%;3.674;50,77%;1,9%;parda;baixo
Coração de Jesus (MG);2022;25.377;12.642;49,82%;12.735;50,18%;-2,5%;parda;baixo
Coronel Murta (MG);2022;8.200;4.053;49,43%;4.147;50,57%;-10,1%;parda;baixo
Couto de Magalhães de Minas (MG);2022;4.245;2.176;51,26%;2.069;48,74%;1%;parda;baixo
Crisólita (MG);2022;5.265;2.517;47,81%;2.748;52,19%;-12,9%;parda;baixo
Cristália (MG);2022;5.121;2.523;49,27%;2.598;50,73%;-11,1%;parda;baixo
Curral de Dentro (MG);2022;7.406;3.679;49,68%;3.727;50,32%;7,1%;parda;baixo
Datas (MG);2022;5.465;2.783;50,92%;2.682;49,08%;4,9%;parda;baixo
Diamantina (MG);2022;47.702;24.516;51,39%;23.186;48,61%;4%;parda;baixo
Divisa Alegre (MG);2022;6.321;3.239;51,24%;3.082;48,76%;7,4%;parda;baixo
Divisópolis (MG);2022;10.213;4.968;48,64%;5.245;51,36%;13,8%;parda;baixo
Engenheiro Navarro (MG);2022;6.354;3.190;50,2%;3.164;49,8%;-10,8%;parda;baixo
Espinosa (MG);2022;30.443;15.451;50,75%;14.992;49,25%;-2,2%;parda;baixo
Felício dos Santos (MG);2022;5.133;2.586;50,38%;2.547;49,62%;-0,2%;parda;baixo
São Gonçalo do Rio Preto (MG);2022;3.032;1.568;51,72%;1.464;48,28%;-0,8%;parda;baixo
Felisburgo (MG);2022;6.489;3.181;49,02%;3.308;50,98%;-5,6%;parda;baixo
Formoso (MG);2022;7.949;3.757;47,26%;4.192;52,74%;-2,8%;parda;baixo
Francisco Badaró (MG);2022;7.366;3.585;48,67%;3.781;51,33%;-28,1%;parda;baixo
Francisco Dumont (MG);2022;4.503;2.200;48,86%;2.303;51,14%;-7,4%;parda;baixo
Francisco Sá (MG);2022;23.476;11.415;48,62%;12.061;51,38%;-5,8%;parda;baixo
Franciscópolis (MG);2022;5.034;2.471;49,09%;2.563;50,91%;-13,2%;parda;baixo
Frei Gaspar (MG);2022;5.640;2.801;49,66%;2.839;50,34%;-4,1%;parda;baixo
Fronteira dos Vales (MG);2022;4.345;2.159;49,69%;2.186;50,31%;-7,3%;parda;baixo
Fruta de Leite (MG);2022;4.647;2.265;48,74%;2.382;51,26%;-21,8%;parda;baixo
Gameleiras (MG);2022;4.793;2.375;49,55%;2.418;50,45%;-6,7%;parda;baixo
Glaucilândia (MG);2022;2.928;1.477;50,44%;1.451;49,56%;-1,1%;parda;baixo
Grão Mogol (MG);2022;13.901;6.749;48,55%;7.152;51,45%;-7,5%;parda;baixo
Guaraciama (MG);2022;5.051;2.486;49,22%;2.565;50,78%;7,1%;parda;baixo
Ibiaí (MG);2022;6.286;3.100;49,32%;3.186;50,68%;-19,8%;parda;baixo
Ibiracatu (MG);2022;5.081;2.449;48,2%;2.632;51,8%;-17,4%;parda;baixo
Icaraí de Minas (MG);2022;10.677;5.177;48,49%;5.500;51,51%;-0,6%;parda;baixo
Indaiabira (MG);2022;6.346;3.107;48,96%;3.239;51,04%;-13,4%;parda;baixo
Itacambira (MG);2022;4.252;2.018;47,46%;2.234;52,54%;-14,8%;parda;baixo
Itacarambi (MG);2022;17.208;8.588;49,91%;8.620;50,09%;-2,9%;parda;baixo
Itaipé (MG);2022;10.463;5.357;51,2%;5.106;48,8%;-11,3%;parda;baixo
Itamarandiba (MG);2022;32.948;16.412;49,81%;16.536;50,19%;2,4%;parda;baixo
Itambacuri (MG);2022;21.042;10.946;52,02%;10.096;47,98%;-7,7%;parda;baixo
Itaobim (MG);2022;19.151;9.654;50,41%;9.497;49,59%;-8,8%;parda;baixo
Itinga (MG);2022;13.745;6.918;50,33%;6.827;49,67%;-4,6%;parda;baixo
Jacinto (MG);2022;11.042;5.488;49,7%;5.554;50,3%;-9%;parda;baixo
Jaíba (MG);2022;37.660;18.550;49,26%;19.110;50,74%;12,1%;parda;baixo
Janaúba (MG);2022;70.699;36.423;51,52%;34.276;48,48%;5,8%;parda;médio
Januária (MG);2022;65.150;32.996;50,65%;32.154;49,35%;-0,5%;parda;médio
Japonvar (MG);2022;8.127;3.988;49,07%;4.139;50,93%;-2,1%;parda;baixo
Jenipapo de Minas (MG);2022;6.100;3.098;50,79%;3.002;49,21%;-14,3%;parda;baixo
Jequitaí (MG);2022;6.484;3.260;50,28%;3.224;49,72%;-19%;parda;baixo
Jequitinhonha (MG);2022;24.007;11.822;49,24%;12.185;50,76%;-0,5%;parda;baixo
Joaíma (MG);2022;13.888;6.901;49,69%;6.987;50,31%;-7%;parda;baixo
Jordânia (MG);2022;10.304;5.069;49,19%;5.235;50,81%;-0,2%;parda;baixo
José Gonçalves de Minas (MG);2022;3.969;1.965;49,51%;2.004;50,49%;-12,8%;parda;baixo
Josenópolis (MG);2022;3.630;1.772;48,82%;1.858;51,18%;-20,5%;parda;baixo
Juramento (MG);2022;3.768;1.887;50,08%;1.881;49,92%;-8,4%;parda;baixo
Juvenília (MG);2022;5.789;2.796;48,3%;2.993;51,7%;1,4%;parda;baixo
Ladainha (MG);2022;14.383;7.314;50,85%;7.069;49,15%;-15,4%;parda;baixo
Lagoa dos Patos (MG);2022;3.313;1.617;48,81%;1.696;51,19%;-21,6%;parda;baixo
Lassance (MG);2022;7.124;3.526;49,49%;3.598;50,51%;9,9%;parda;baixo
Leme do Prado (MG);2022;4.341;2.194;50,54%;2.147;49,46%;-9,6%;parda;baixo
Lontra (MG);2022;8.790;4.372;49,74%;4.418;50,26%;4,7%;parda;baixo
Luislândia (MG);2022;6.210;3.054;49,18%;3.156;50,82%;-3%;parda;baixo
Machacalis (MG);2022;6.487;3.230;49,79%;3.257;50,21%;-7%;parda;baixo
Malacacheta (MG);2022;17.516;8.908;50,86%;8.608;49,14%;-6,7%;parda;baixo
Mamonas (MG);2022;5.997;2.980;49,69%;3.017;50,31%;-5,1%;parda;baixo
Manga (MG);2022;18.886;9.462;50,1%;9.424;49,9%;-4,7%;parda;baixo
Mata Verde (MG);2022;9.112;4.572;50,18%;4.540;49,82%;15,7%;parda;baixo
Matias Cardoso (MG);2022;8.895;4.418;49,67%;4.477;50,33%;-10,9%;parda;baixo
Mato Verde (MG);2022;12.038;6.218;51,65%;5.820;48,35%;-5,1%;parda;baixo
Medina (MG);2022;20.156;10.047;49,85%;10.109;50,15%;-4,1%;parda;baixo
Minas Novas (MG);2022;24.405;12.314;50,46%;12.091;49,54%;-20,7%;parda;baixo
Mirabela (MG);2022;13.651;6.822;49,97%;6.829;50,03%;4,7%;parda;baixo
Miravânia (MG);2022;3.985;1.985;49,81%;2.000;50,19%;-12,4%;parda;baixo
Montalvânia (MG);2022;14.060;7.012;49,87%;7.048;50,13%;-11,4%;parda;baixo
Monte Azul (MG);2022;20.328;10.249;50,42%;10.079;49,58%;-7,6%;parda;baixo
Monte Formoso (MG);2022;4.381;2.088;47,66%;2.293;52,34%;-5,9%;parda;baixo
Montes Claros (MG);2022;414.240;215.465;52,01%;198.775;47,99%;14,5%;parda;grande
Montezuma (MG);2022;6.888;3.441;49,96%;3.447;50,04%;-7,7%;parda;baixo
Nanuque (MG);2022;35.038;18.295;52,21%;16.743;47,79%;-14,2%;parda;baixo
Ninheira (MG);2022;10.588;5.152;48,66%;5.436;51,34%;7,9%;parda;baixo
Nova Porteirinha (MG);2022;6.706;3.345;49,88%;3.361;50,12%;-9,4%;parda;baixo
Novo Cruzeiro (MG);2022;26.975;13.619;50,49%;13.356;49,51%;-12,2%;parda;baixo
Novo Oriente de Minas (MG);2022;10.275;5.068;49,32%;5.207;50,68%;-0,6%;parda;baixo
Novorizonte (MG);2022;4.571;2.285;49,99%;2.286;50,01%;-7,9%;parda;baixo
Olhos-d'Água (MG);2022;5.385;2.601;48,3%;2.784;51,7%;2,2%;parda;baixo
Ouro Verde de Minas (MG);2022;5.757;2.887;50,15%;2.870;49,85%;-4,3%;parda;baixo
Padre Carvalho (MG);2022;5.058;2.567;50,75%;2.491;49,25%;-13,3%;parda;baixo
Padre Paraíso (MG);2022;17.334;8.749;50,47%;8.585;49,53%;-8%;parda;baixo
Pai Pedro (MG);2022;5.551;2.740;49,36%;2.811;50,64%;-6,5%;parda;baixo
Palmópolis (MG);2022;6.301;3.106;49,29%;3.195;50,71%;-9,1%;parda;baixo
