city;educacao.ensino_fundamental_incompleto;educacao.ensino_fundamental_completo;educacao.ensino_medio_completo;educacao.ensino_superior_completo;educacao.alfabetizados;educacao.analfabetos
Muritiba (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mutuípe (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nazaré (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nilo Peçanha (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nordestina (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Canaã (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Fátima (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Ibiá (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Itarana (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Redenção (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Soure (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Viçosa (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Novo Horizonte (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Novo Triunfo (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Olindina (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Oliveira dos Brejinhos (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ouriçangas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ourolândia (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Palmas de Monte Alto (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Palmeiras (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paramirim (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paratinga (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paripiranga (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pau Brasil (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paulo Afonso (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pé de Serra (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedrão (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedro Alexandre (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Piatã (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pilão Arcado (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pindaí (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pindobaçu (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pintadas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Piraí do Norte (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Piripá (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Piritiba (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Planaltino (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Planalto (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Poções (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pojuca (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ponto Novo (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Porto Seguro (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Potiraguá (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Prado (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Presidente Dutra (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Presidente Jânio Quadros (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Presidente Tancredo Neves (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Queimadas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Quijingue (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Quixabeira (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rafael Jambeiro (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Remanso (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Retirolândia (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riachão das Neves (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riachão do Jacuípe (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Riacho de Santana (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ribeira do Amparo (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ribeira do Pombal (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ribeirão do Largo (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rio de Contas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rio do Antônio (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rio do Pires (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rio Real (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rodelas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ruy Barbosa (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Salinas da Margarida (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Salvador (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Bárbara (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Brígida (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Cruz Cabrália (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Cruz da Vitória (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Inês (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santaluz (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Luzia (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Maria da Vitória (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santana (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santanópolis (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Rita de Cássia (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Terezinha (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santo Amaro (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santo Antônio de Jesus (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santo Estêvão (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Desidério (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Domingos (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Félix (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Félix do Coribe (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Felipe (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Francisco do Conde (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Gabriel (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Gonçalo dos Campos (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José da Vitória (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José do Jacuípe (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Miguel das Matas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Sebastião do Passé (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sapeaçu (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sátiro Dias (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Saubara (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Saúde (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Seabra (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sebastião Laranjeiras (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Senhor do Bonfim (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serra do Ramalho (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sento Sé (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serra Dourada (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serra Preta (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serrinha (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Serrolândia (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Simões Filho (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sítio do Mato (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sítio do Quinto (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sobradinho (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Souto Soares (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tabocas do Brejo Velho (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tanhaçu (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tanque Novo (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tanquinho (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Taperoá (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tapiramutá (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Teixeira de Freitas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Teodoro Sampaio (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Teofilândia (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Teolândia (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Terra Nova (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tremedal (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tucano (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Uauá (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ubaíra (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ubaitaba (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ubatã (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Uibaí (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Umburanas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Una (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Urandi (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Uruçuca (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Utinga (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Valença (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Valente (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Várzea da Roça (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Várzea do Poço (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Várzea Nova (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Varzedo (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vera Cruz (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vereda (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vitória da Conquista (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Wagner (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Wanderley (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Wenceslau Guimarães (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Xique-Xique (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Abaiara (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Acarape (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Acaraú (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Acopiara (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aiuaba (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alcântaras (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Altaneira (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alto Santo (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Amontada (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Antonina do Norte (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Apuiarés (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aquiraz (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aracati (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aracoiaba (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ararendá (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Araripe (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aratuba (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Arneiroz (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Assaré (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aurora (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Baixio (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Banabuiú (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barbalha (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barreira (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barro (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barroquinha (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Baturité (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Beberibe (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bela Cruz (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Boa Viagem (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Brejo Santo (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Camocim (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Campos Sales (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Canindé (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Capistrano (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caridade (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cariré (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caririaçu (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cariús (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Carnaubal (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cascavel (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Catarina (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Catunda (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caucaia (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cedro (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Chaval (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Choró (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Chorozinho (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coreaú (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Crateús (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Crato (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Croatá (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cruz (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Deputado Irapuan Pinheiro (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ererê (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Eusébio (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Farias Brito (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Forquilha (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Fortaleza (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Fortim (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Frecheirinha (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
General Sampaio (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Graça (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Granja (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Granjeiro (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Groaíras (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Guaiúba (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Guaraciaba do Norte (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Guaramiranga (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Hidrolândia (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Horizonte (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibaretama (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibiapina (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibicuitinga (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Icapuí (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Icó (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Iguatu (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Independência (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ipaporanga (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ipaumirim (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ipu (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ipueiras (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Iracema (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Irauçuba (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itaiçaba (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itaitinga (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itapajé (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itapipoca (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itapiúna (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itarema (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itatira (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jaguaretama (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jaguaribara (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jaguaribe (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jaguaruana (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jardim (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jati (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jijoca de Jericoacoara (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Juazeiro do Norte (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jucás (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lavras da Mangabeira (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Limoeiro do Norte (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Madalena (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Maracanaú (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Maranguape (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Marco (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Martinópole (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Massapê (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mauriti (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Meruoca (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Milagres (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Milhã (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Miraíma (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Missão Velha (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mombaça (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Monsenhor Tabosa (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Morada Nova (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Moraújo (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Morrinhos (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mucambo (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mulungu (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Olinda (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Russas (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Novo Oriente (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ocara (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Orós (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pacajus (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pacatuba (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pacoti (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pacujá (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Palhano (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Palmácia (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paracuru (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paraipaba (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Parambu (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paramoti (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedra Branca (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Penaforte (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pentecoste (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pereiro (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pindoretama (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Piquet Carneiro (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pires Ferreira (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Poranga (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Porteiras (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Potengi (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Potiretama (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Quiterianópolis (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Quixadá (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Quixelô (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Quixeramobim (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Quixeré (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Redenção (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Reriutaba (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Russas (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Saboeiro (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Salitre (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santana do Acaraú (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santana do Cariri (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Quitéria (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Benedito (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Gonçalo do Amarante (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São João do Jaguaribe (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Luís do Curu (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Senador Pompeu (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Senador Sá (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sobral (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Solonópole (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tabuleiro do Norte (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tamboril (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tarrafas (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tauá (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tejuçuoca (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tianguá (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Trairi (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tururu (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ubajara (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Umari (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Umirim (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Uruburetama (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Uruoca (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Varjota (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Várzea Alegre (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
Viçosa do Ceará (CE);32,63%;13,03%;33,49%;20,85%;92%;26.939
ARACRUZ (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
ITAGUAÇU (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
ITARANA (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Águia Branca (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Água Doce do Norte (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alto Rio Novo (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Baixo Guandu (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barra de São Francisco (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Boa Esperança (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Colatina (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Conceição da Barra (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ecoporanga (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Governador Lindenberg (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jaguaré (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Linhares (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mantenópolis (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Marilândia (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Montanha (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mucurici (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Nova Venécia (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pancas (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pedro Canário (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pinheiros (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ponto Belo (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rio Bananal (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Domingos do Norte (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Gabriel da Palha (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Mateus (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Sooretama (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vila Pavão (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Vila Valério (ES);32,63%;13,03%;33,49%;20,85%;92%;26.939
Açailândia (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Afonso Cunha (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Água Doce do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alcântara (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aldeias Altas (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Altamira do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alto Alegre do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alto Alegre do Pindaré (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alto Parnaíba (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Amapá do Maranhão (MA);32,63%;13,03%;33,49%;20,85%;92%;26.939
